FAMILIA;CULTIVOS;SUPERFICIE SEMBRADA (TAS);SUPERFICIE COSECHADAS (TAS);VOLUMEN OBTENIDO;UNIDAD DE MEDIDA;VALOR PRODUCCION RD$;TRIMESTRE;AÑO
FRUTALES;Pitahaya;5;120;122;QQ;222000;octubre-diciembre;2019
FRUTALES;Sandía;493;203;24411;UNIDAD;1213720;octubre-diciembre;2019
FRUTALES;Tindora;25;429;2164;QQ;2810845;octubre-diciembre;2019
FRUTALES;Uva;0;278;339;QQ;1602200;octubre-diciembre;2019
FRUTALES;Zapote;0;110;35;MILLAR;122500;octubre-diciembre;2019
OTROS;Anthorium Boc;0;24;1240;PAQUETE;328000;octubre-diciembre;2019
OTROS;Jengibre;189;112;672;QQ;1072000;octubre-diciembre;2019
OTROS;Orégano;65;199;351;QQ;1477150;octubre-diciembre;2019
OTROS;Pastos;1423;5559;595339;PACAS;74795528;octubre-diciembre;2019
OTROS;Pimienta;0;819;1622;QQ;27972000;octubre-diciembre;2019
OTROS;Muzú;4;45;200;QQ;144550;octubre-diciembre;2019
CITRICOS;Limón Criollo;143;1437;1464;MILLAR;3769000;octubre-diciembre;2019
CITRICOS;Limón Persa;576;13232;14977;MILLAR;46864150;octubre-diciembre;2019
CITRICOS;Mandarina;0;0;0;N/A;;octubre-diciembre;2019
CITRICOS;Naranja Agria;0;610;1195;MILLAR;3916300;octubre-diciembre;2019
CITRICOS;Naranja Dulce;0;167;222;MILLAR;792000;octubre-diciembre;2019
CITRICOS;Toronja;0;14;37;MILLAR;120500;octubre-diciembre;2019
